age,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_tenure,existing_loans,default
29,24525.234390251815,18085.539577401454,580.6821806736858,27,13,11.661924180365874,60,4,0
59,25264.046351162873,11755.080226324017,760.4735466055032,106,11,20.98658868299249,60,2,0
38,41099.00612733977,11747.520902550466,475.4301287876036,222,17,13.60674956162092,24,0,0
24,35773.90333640674,3893.711247618956,652.0659086357401,83,15,16.546873835972445,48,2,0
45,59529.775263307376,27408.047495403443,592.6600134427861,236,9,15.824226810275198,24,0,1
34,50960.9967553118,27786.709735697208,715.3758305442944,148,4,9.348357094544536,36,0,0
29,73298.1251527321,1651.5363651156003,483.25756651094446,282,12,5.013348284545456,48,2,0
46,56345.15450467967,13115.758234487263,619.8912816460453,99,3,24.976721028619178,48,4,0
22,37108.46340656644,22422.341071002822,665.6714862854267,34,17,13.336635460858071,12,3,0
40,12177.42276227109,12131.72036015844,614.8348030211566,96,7,10.676329432164113,36,3,0
48,53589.11968554354,10150.912568620264,710.2655500998737,232,7,20.317632135905335,60,1,0
27,15793.437795274454,9631.31576956106,495.8980356011483,12,12,16.850494254592206,24,3,0
64,36860.895261583275,17501.638855061785,537.7993271656671,245,10,22.60919756787824,60,2,0
28,35565.46443806649,35923.148520697025,617.3569734894645,261,8,20.622020189544806,48,1,0
55,39831.457702331376,21623.208170385682,683.6824423520355,222,9,10.635385275487984,24,3,0
34,23679.314801462846,6131.539952458419,701.2733823129513,73,14,16.844885245411014,60,3,0
37,35494.46783780101,9968.935661254582,667.2864734579321,265,6,15.054039092032044,24,0,0
56,72918.091569036,12857.966639635502,558.0124384226837,183,19,24.101673345601135,60,0,0
60,72862.96975149866,8126.664205465258,590.2948285193557,276,15,9.791402774800131,24,3,1
24,80649.99550931941,6634.525867210472,760.5693734339718,55,7,10.676689755454724,60,1,0
22,50202.93051487549,20999.438691798645,850.0,56,8,23.408564137442443,60,2,0
26,55424.38257796493,10976.520274057064,710.8998152149923,294,3,14.156217133256142,24,3,0
62,73212.22835387316,17974.518554777085,684.4305037474511,60,11,14.145090160016181,12,2,0
24,20586.780861257652,29259.429744984154,534.6187755476103,172,4,22.3641719807383,24,1,0
49,66112.57013407402,10805.318637982327,669.6998728427046,109,2,10.921010742114532,60,4,0
38,76046.89446791311,17197.00780301734,481.4432637253876,145,1,18.93795279271656,36,1,0
46,32220.793479247524,6811.018086943825,781.3780806451551,13,7,19.430461467488165,48,4,0
64,77652.78291207319,18324.081320602974,706.0037892856182,182,12,13.847966933991692,12,0,1
54,91154.32160603166,25400.355219850084,644.2391568661469,146,8,11.67921034323924,24,2,0
30,65556.93341021657,24987.57707806996,534.1947841033376,231,13,19.93311276141037,48,0,0
56,61890.08737320247,15338.448061057863,668.1621346613941,296,6,10.118475233636936,12,2,0
34,27604.47901741483,10848.284739037132,499.76913153075634,139,7,21.386198084046736,36,1,0
51,71384.07858081849,16894.431469172512,618.5556297782003,147,6,13.328229482430963,48,3,0
35,29488.18694725774,15408.892027180704,691.5007497798215,35,12,5.367546381438213,24,3,0
28,57394.81605280727,18689.10707923182,578.7214028573642,276,7,16.38542307536964,36,4,0
34,59421.902146620494,9924.161511391256,645.9923188535757,55,10,8.888355503960746,24,3,0
43,10000.0,11798.658897347792,850.0,40,7,14.331304509657006,48,2,1
60,58116.06767071502,13253.567353151058,471.1681024108443,168,15,21.16670942525022,24,3,0
41,102429.49572956975,20331.71393012368,572.7850938719341,170,2,8.80026100872183,36,0,0
36,10000.0,21393.435737374344,624.145978392873,105,8,9.162256480030988,36,3,0
38,48922.1601197373,11547.500473056112,596.9356202228901,226,17,14.476919710046449,48,0,0
44,11057.692465307613,5792.126552609398,695.294540471633,85,16,14.530022694450418,48,4,0
46,32117.171223896457,17901.125004011392,704.0315770686555,293,13,14.073398563121222,60,4,0
45,11404.462903593922,20855.319056155284,654.5006362158206,145,18,18.889859555800445,36,1,0
61,53190.84653994435,13926.792298054734,663.6206163151086,263,4,10.38195885985968,60,1,0
49,65872.09606519189,9291.127191699377,470.2870326389918,246,12,10.210556029380655,24,1,0
35,58194.772655381836,11176.241676885884,697.2640316595114,147,11,5.447221856675155,48,0,1
21,31396.350610848556,28114.715216864275,669.332011021282,221,2,12.634693690472599,12,1,0
45,37812.10486808145,16773.842385803695,580.687530766854,145,16,8.915464159480383,24,4,1
27,55445.45372171278,23107.130763348046,811.8742556238253,107,13,16.831966321095923,60,3,0
29,32021.520197221587,8575.259207769976,642.6035317578267,214,4,8.62341379470692,36,0,0
44,23424.097829687165,24681.964115342253,672.5333903859795,244,2,22.890621041362365,48,1,0
21,45217.458797960775,22157.48974824046,645.9095167251202,129,18,21.980286447728613,48,1,0
64,31105.835814551847,14180.680631221265,484.9394708679665,63,1,20.30339847719224,24,4,0
28,58231.15834507285,19871.519048945946,548.7577192645992,299,6,21.1704837172442,24,3,0
44,75973.94800633835,25351.47445669996,622.3372156583279,223,19,24.191665361582242,48,2,1
31,101951.66805411526,6135.829102529593,748.2119325440384,64,10,11.396178808536364,60,3,0
37,56761.338242793,10794.130844507808,604.2176962804043,64,9,24.59718402144842,36,1,0
28,62919.44325639074,19192.271451822977,670.594241829038,181,17,22.810453312839275,48,1,0
55,38013.65313411745,15161.986130914562,695.4734557538383,107,15,12.237841792527073,48,3,0
55,39252.4645155691,18290.312036207775,570.0495617295485,110,2,22.28147801913263,24,3,1
53,75681.12493081878,20505.23886382798,556.4086057853449,75,17,22.946095923510217,36,4,0
25,44473.443997064445,18988.978433144002,582.0360644025293,249,7,5.721766252914162,48,2,1
62,51458.94757211565,12977.31453814134,575.7195753452322,240,16,22.519247386202444,24,0,0
59,74459.51340256669,13528.373612508349,541.2558023167259,225,17,13.664892153671635,12,0,0
61,44627.456562268206,27442.70427363578,736.2239937575938,163,1,21.22687931459978,48,2,0
48,80008.40875376297,15689.618845692405,708.5432057763355,262,16,7.223279829194431,12,4,0
27,61460.5867210281,25842.54228718335,541.7070569758345,14,4,8.44374021551856,36,3,0
29,59107.9634195643,26398.597351397995,666.7533085738501,152,16,24.57552248833222,36,1,0
28,37036.21705865312,8752.409266139533,617.7925234735302,37,3,13.323610289342447,48,2,0
32,60182.5199010021,20884.07930172648,638.026731782192,36,1,20.969106725610587,60,4,0
54,41419.08104267507,6358.305578213609,653.3483103762478,121,17,20.004882193688186,24,2,0
53,59388.177123914094,27937.333705295976,502.0694053932739,271,5,20.720985412942333,24,1,0
43,47963.49868479142,16508.4704273723,450.8016462590132,256,3,20.29244761566317,60,0,0
44,69336.19141968238,16120.135287002515,652.0002318799146,174,19,23.279191587239936,12,3,0
57,49364.5765440649,8079.005117404866,611.1701838757616,292,11,16.851737512371884,36,4,0
55,90757.15100473394,10145.673412965682,627.7385702718907,141,15,13.509096041326575,48,0,0
64,44489.06043208548,16809.51918844902,585.050442730834,161,2,23.504597381006597,24,1,0
60,39308.504759529795,15727.93676186965,648.7885848788401,22,7,12.139056266145689,24,2,0
42,56922.275736025076,11919.065870708077,482.2974097642586,65,18,17.613975772564686,48,4,0
47,71557.42111654946,22026.71236472464,652.6005369565687,57,1,22.104361437672363,48,4,0
55,71401.96969654548,14980.310427472248,394.17910532696044,28,8,23.320348174590976,24,0,0
21,53335.62888804995,6914.690728955813,576.1271375329654,82,16,23.988602423246892,24,0,0
55,56781.783216095704,20763.050526164763,601.4153698504321,128,15,18.198654764080153,24,1,0
57,56810.761147448466,5725.790548251973,465.65172418755856,132,4,19.40400731846386,48,0,0
34,28442.543727437496,1000.0,776.3259658775719,114,13,14.950413930852127,12,4,0
23,70481.46883532194,15769.25431989036,640.169987998378,33,12,10.697849810323397,24,3,0
21,24842.871357586653,6754.506649348776,574.1485392411856,124,9,5.323590510445624,12,1,0
25,28480.026484304162,16424.89642277502,838.1249058638915,77,13,9.44081470819335,24,1,0
46,51100.5416904293,21530.864814194218,672.0067844868913,274,11,24.59918687463597,48,3,0
34,43602.805317089165,22876.030444587443,684.8715293165778,167,12,21.127636597376465,60,1,0
59,65923.14798750899,18981.185562529823,625.841654385432,80,4,14.580719702045606,12,1,0
47,58947.05345340361,4391.494030131844,594.2066948074634,94,3,11.871822136808179,60,0,0
29,52764.02774141385,9238.783603300144,668.8433211386445,208,5,6.2868874381609885,24,1,0
35,27489.320080558995,15043.323599082649,364.40097732756357,71,6,5.2027373081256005,24,4,0
35,50531.20209726804,15120.63738183517,460.80608793348694,144,4,20.10121150123051,48,0,0
46,48949.770617571674,7464.723777077673,497.5601220009668,37,1,24.71146733213142,60,2,0
62,54443.7347380434,11300.537871350622,408.6716628877854,170,5,10.076578245275096,60,4,0
33,41399.23989144724,21482.865000728103,694.5570993912416,39,2,10.49073533007958,24,2,0
52,60456.35075987086,19029.950060613344,570.9197033610553,172,14,23.693497439497634,36,0,0
59,43068.779245862665,12532.37108331304,763.6630280375638,198,11,17.041236299998573,36,4,0
52,58582.269302582245,23237.219286716158,620.82733263521,221,9,8.476222590652153,60,0,0
24,65920.95148171502,4387.9240501242075,554.0581319502693,89,8,5.913730247823135,60,2,0
50,39308.09002695252,21577.619062282654,626.6864763733108,285,7,16.27151621625999,12,3,0
57,34556.8305963703,20476.75002817504,744.5229610825245,162,15,14.051145540238876,24,1,0
43,59527.32312938679,20973.538749176012,608.3744705796036,132,9,13.6418878373043,36,3,0
59,23578.00638571141,17371.693130397187,758.098698980381,282,10,24.385286065893986,48,3,0
35,72233.29509784124,9774.011833604854,743.0320131771578,151,18,10.257550313465059,12,0,0
63,50219.252342339496,19735.934567347933,576.0062085408075,44,19,14.75981188389069,36,0,0
49,47704.831962032695,11675.030560256622,584.3621287898987,260,2,9.266880271282577,24,1,0
56,60920.31836702452,16641.905230316766,578.8314245361154,218,14,11.435783010084062,24,3,0
33,59679.09040844193,9176.804490767061,512.7967049694267,107,10,20.31786749040838,24,4,0
52,50130.361499578146,12240.868863553971,484.43817476965125,46,5,8.946009862790532,36,0,0
27,67572.32821203828,13854.00786956704,583.3296689136437,132,5,18.529689638710643,24,3,0
42,36552.233892994955,18197.79123519153,389.4131229195048,260,2,7.592888801205904,48,2,0
48,64247.129865872506,19537.551782425842,519.2817968322913,175,13,8.811454919348588,24,0,1
22,28427.530566618494,28565.595289568002,680.2669187565756,120,7,5.461866192990397,12,1,0
62,60212.97982130267,16185.011735576158,492.6256571740055,189,15,17.60929174473496,48,3,0
26,43442.534070660855,7418.163376249413,759.7118031812074,259,15,24.80640975394776,12,0,1
48,23778.27875261618,21399.7250440485,690.5833751642219,176,6,18.129506833816755,12,1,0
48,55132.856342887455,17701.074155317838,816.0175987300752,64,7,23.466424521296922,60,1,0
64,49311.470136985416,13477.02827130457,837.1476287573453,219,4,15.528158124323532,60,2,1
64,19145.489810357427,11796.202085429126,704.754486585368,147,4,18.605728416929356,24,1,0
40,10000.0,10054.108603945428,571.4089253902499,99,1,23.510659305100504,48,0,0
50,46954.7233316501,9788.34650977239,464.5575491690494,118,11,6.724380288300913,36,0,0
31,82364.51921403654,5236.274004910798,482.9202876143738,108,5,16.94874194882961,60,4,0
48,56420.30016411821,22724.079360749518,826.5652568891056,81,2,16.510579508550634,48,3,1
45,36633.935265711116,18478.396488190592,480.84760042074936,12,5,5.663029770551489,60,3,1
59,71637.39031375713,15744.459779159259,608.5562804112861,298,5,8.123986420883773,48,2,0
53,68144.47235749118,10034.004930250241,750.4792995992542,91,13,16.04698948848465,24,3,0
21,75431.58155978771,23714.947008887455,542.6232304307265,237,12,14.95350243703207,12,1,0
47,63677.955286854136,3634.912815609181,762.0157575888431,183,10,11.876566600822777,60,0,0
33,67718.04646222416,13952.056761390806,623.7714035288345,177,13,18.95435248817237,12,1,0
61,64622.17062025128,22857.170939403546,652.0139483704445,209,9,12.204638415346583,12,3,0
23,40449.90105167145,1000.0,601.4160396878144,275,5,20.37737522483429,36,4,0
59,17254.385211928093,16408.399244187,538.3013265212101,274,6,21.184745942116223,36,3,0
26,39577.292084138964,9718.74358076735,699.6316798157226,272,17,17.891562394743495,24,2,0
28,72098.73954002708,15969.28872945495,687.2696519555908,35,5,10.579619299485728,48,0,0
47,42379.78327810857,12004.394936277884,704.0662705469266,69,11,21.05316202366979,24,1,0
29,47090.81897785288,19749.530316849778,731.6526120349093,115,6,10.03574389331305,48,3,0
57,26684.3013370711,24860.350289663704,587.6002448063766,0,9,11.060190385955195,36,0,0
53,38978.208556815545,35106.61099352494,687.2195042295938,80,12,17.176109550346723,24,1,0
62,49818.216664331485,14092.801207022614,720.8150542353955,34,4,18.78091266288525,48,3,0
64,59851.24355717507,20903.782016641944,671.9253080408484,282,18,12.425806929124313,36,3,1
44,40826.78065648667,17737.232511588845,589.8195836253368,194,15,16.827753311405047,48,3,0
35,39429.25148764602,18328.652154786414,666.7558077745701,183,4,9.959772280879662,24,2,0
52,66843.51130297736,26806.399580659,431.47090271378306,45,14,20.896303855951054,60,2,0
52,56505.330528764476,9526.452857220804,668.8572066784633,147,18,24.842563088698455,60,1,0
44,58973.449303842994,12133.72001188193,519.9017545153409,263,17,18.96735945448299,24,1,0
61,80566.41172136742,13596.210730800149,633.0623314142775,92,2,11.38730412151693,12,0,0
32,39898.512231792854,7121.210848017256,589.3256468392273,113,19,11.975148133868883,60,4,0
59,49019.616590367295,14988.200521279727,636.0510748503935,281,14,5.610509196475892,60,0,0
22,61023.19548846293,20263.759384561887,475.9474461171508,102,4,17.939064388727886,60,4,0
23,32569.85276683973,21626.895660190778,701.7274383420161,201,2,17.000423226409573,12,3,1
57,54580.99476504238,13529.39430743197,722.2747565846432,61,13,24.091772477946737,36,3,0
37,50443.929945182004,24136.287432824494,533.4233350752612,93,7,13.042690705431943,36,0,0
22,105545.98823138248,1000.0,494.98546378091476,227,8,23.65848197270218,12,2,0
22,51997.39003330147,33603.056453459125,540.1581523937558,67,10,20.204957256177718,12,2,0
48,73138.79531128664,19538.05290100197,705.4121909248908,284,3,10.76006237002769,24,1,0
43,66598.86427693686,11556.515407268256,624.5605011482238,164,4,5.328657460361743,24,1,0
57,26868.767937180248,18696.813291627743,610.7383560165765,100,6,19.533223183562114,24,0,1
52,19023.523240786006,13777.70399757451,616.1821342098335,242,7,14.926954766273639,36,2,0
53,54940.292107325884,1000.0,564.1008967090993,89,7,24.23711995605035,48,3,0
21,75146.69324293909,15375.245653934595,664.4472018157392,87,17,5.442102969749643,60,3,0
39,55758.29639126349,22292.05558885642,782.7308958186537,126,6,15.43809635366939,24,2,0
22,51577.03608034349,22710.33803460482,541.736782640769,106,19,20.776462527977145,60,0,0
64,44318.266941015005,17013.582382927707,693.6124452411956,243,18,20.795453954018406,12,1,1
46,23520.77506807192,22662.17305023158,625.7794902825716,184,12,18.44118948610943,36,0,0
52,30789.585648219756,18483.519413847433,624.9629124298489,263,19,12.887449538902075,24,2,0
26,17553.726223206042,16780.607382618964,768.9683227891604,100,11,6.3448539652982365,48,0,0
52,27939.06801773497,9488.056550024245,730.2103766494121,252,17,11.035181464820734,36,2,0
24,39479.835251412995,12222.314800991058,632.0531233266561,141,3,18.023047713335895,12,0,0
31,65520.32043033972,12949.106520806317,724.0817059338376,252,15,20.421178243149697,60,4,0
37,41098.65478408805,17283.827743953214,459.39953001006484,72,5,21.347603857472688,36,3,1
58,55112.515710994354,21425.225587996385,411.59654405601174,213,4,20.481624808484206,60,4,0
44,52704.58422353363,10084.582909492141,560.900822334884,298,1,11.47583517623432,24,2,0
25,59980.97670965947,3865.913492909962,530.6414129633115,171,3,18.881780496059996,12,3,0
54,29303.701369654824,26518.086735916255,607.0402461179057,229,10,24.381575108447667,48,4,0
26,71183.87430247097,7251.032949919495,745.3386246391378,236,13,7.730032242914899,36,0,0
42,21856.46030092814,18920.76002035157,610.3211053922714,229,7,19.627227649999732,60,0,0
31,41043.73595226785,17025.468294309892,725.2074832575639,6,14,13.199620451422064,12,3,0
36,49581.89184446843,12245.317393299161,722.9749109101822,194,13,9.499872984783115,12,2,0
53,65202.89696299494,19859.662403364455,456.16551148223544,255,5,11.400850714309831,24,4,0
29,77586.18671101506,5338.9616460504985,703.1797689131469,170,11,8.329440338485263,36,2,0
26,65360.630402567804,28045.837323805667,749.9320052087909,39,14,21.306847460759265,24,0,1
36,78318.32714911718,36079.022406812684,756.889178498221,287,1,12.749228902185452,24,1,0
49,33416.48140985391,24847.321026036556,623.4704231283265,227,5,23.752386988074072,24,1,0
23,73807.4096014242,8519.272531915336,642.4362318048205,233,3,24.327721108961985,12,2,1
40,70373.13459826601,1000.0,648.9759820159495,182,1,24.314847087043628,60,0,0
56,10000.0,18818.91099193063,627.2743081525132,210,17,8.114228093667217,60,0,0
39,45590.715122114474,4653.020517999523,532.0254951437952,228,12,11.927721159417914,48,1,0
46,62040.74846763565,11694.72619084096,554.7911695100915,254,13,11.20769718740062,48,1,0
23,39691.72269109123,27182.575646605404,697.3997976735365,76,6,23.453572957042617,60,4,0
39,28283.496554075267,27989.455862901465,621.6959514988528,264,3,6.729504353741753,24,4,1
40,92283.5043588375,28853.325663795797,646.9816150579645,231,11,16.77230834471368,12,1,0
52,52220.803019418134,15787.316204492081,746.1304230274571,136,11,14.707449677461678,24,2,0
27,52768.10868308122,22172.797945500533,644.5371290604239,63,10,24.525390811026835,24,3,0
61,23820.11770249868,1000.0,522.6861755265512,244,11,24.265992503925293,24,0,0
53,37752.78008407522,3006.7637608045425,850.0,90,16,13.479972012833638,36,0,0
60,32043.187412561936,12694.435148983892,607.1450617354757,232,10,13.82748066896798,36,0,0
59,71579.50460278607,21730.3743943758,601.3616995425645,93,12,12.69069796928923,24,4,0
38,60092.67241852104,11588.701759723015,665.5106049690395,202,19,20.783442833597167,48,1,0
60,38588.72614386941,21421.267104866813,622.9031038507958,173,9,7.003621956068478,48,4,0
21,61210.00477332429,5771.561348249237,630.8241036853557,123,4,7.322938018948388,60,1,0
31,44929.59708517845,15816.251334026547,580.1272879549462,69,15,19.093855809666124,12,2,0
48,54689.81435957083,19399.05896313293,734.1472345082033,102,7,5.333735242760474,36,4,0
45,54595.27774371413,21059.23631730756,748.7852333119822,232,5,18.420595322648886,24,1,0
43,58405.34420959198,11387.514685136817,818.9616093543962,63,19,7.5739206069928455,36,2,0
51,55993.03846793492,15229.299830598073,833.7102216685389,94,15,20.723711580815397,60,4,0
50,58420.99302329817,2674.0718563872797,439.4939248077171,162,6,19.79276896837447,48,0,0
62,75116.16620971149,14159.3236459082,698.143332699073,267,15,8.645205977805233,48,2,0
55,62811.25506147048,23653.43359993566,518.7684775818115,172,17,20.138654157003437,12,4,0
27,43261.96474548081,12896.874104128437,765.863750427139,5,19,20.80461163518051,12,1,0
36,48040.94508029651,9016.539839905214,669.4764080003779,100,3,23.51124230324484,60,0,0
46,74603.41175994133,21251.41958980341,564.1945806715318,130,18,19.488893220722705,12,1,0
22,52248.449098964295,33281.66897328725,523.5832394807705,19,10,22.352023401257817,60,3,0
21,42519.63165285801,32386.16342016223,571.7291973830195,210,15,17.74959476297326,36,3,0
32,37377.233157399285,17091.380895206166,556.7316635124985,294,18,17.51032737821788,24,4,0
25,55460.762163324944,21164.024781590906,770.1982900784668,291,15,18.506879433543745,48,2,0
57,32902.86394908848,28109.03647352705,644.337019141624,264,19,13.127028146455883,24,2,0
52,75695.90847668613,16930.373586643436,537.6582308844324,252,5,9.571475359107124,36,4,0
29,29243.632924858404,18690.51823558624,679.6463822096887,43,11,13.266293898869591,12,4,0
61,79561.35451038842,12416.259861544644,677.849499973357,74,9,16.867804371451527,48,0,0
55,44295.39368255102,33943.79833513455,624.4973481224326,52,5,18.800106806119718,12,1,1
39,28465.252927446883,20750.029303123967,762.6600787135714,285,11,14.134072442005044,24,1,0
36,53783.51477130753,12861.835382429164,697.0763586592386,65,7,11.602208652318025,12,3,1
23,30939.216835714215,10397.329449175435,689.1059967521215,37,2,9.937821240417106,60,3,0
40,50687.435220605206,1000.0,455.74736674347884,253,19,8.66398013366224,24,4,0
44,38449.12936801335,2355.8332304820633,606.6380739337915,293,18,14.527398484127477,12,2,0
53,68901.46535738182,9190.803861678589,706.7891127526646,198,16,19.127817070719825,24,2,0
44,52734.99219875265,22426.618295673816,678.3566347427569,235,1,21.596963509611466,12,0,0
31,26229.9833585093,17608.90583151831,649.9046866086738,54,3,11.906239681208605,12,3,0
28,38059.26919147989,4961.5760076725455,710.5768177431812,115,9,17.223285361309735,24,0,0
56,64098.94499186259,7587.859228131049,686.8592807224119,84,17,14.554160447166849,36,1,0
58,75741.8420758095,17252.82429934366,722.3728149776744,278,8,24.325243528629606,24,4,0
60,49094.503850646324,28387.806793596726,681.2553038827103,141,16,22.647857491325787,48,2,0
40,29112.068762621926,6184.320768417565,718.0157810799703,95,12,22.645469000901713,48,3,0
55,71080.72621701777,18671.494454094904,712.9859331097949,48,4,16.584021806303443,36,3,0
45,64011.2734978675,11436.544484054995,641.6220821875031,204,5,13.73665179257458,12,4,0
55,76130.79168605099,11668.651928764088,646.890087871218,194,7,18.03714234376111,24,4,0
45,55804.18236842613,5612.572485791565,657.7527799048852,249,18,8.193048814806641,12,3,0
49,39588.06168406214,20011.966120344678,525.5694744866412,257,14,22.65945478276598,12,3,1
38,60337.76970791159,11109.680769357798,495.5172823318629,58,8,10.424655268768436,48,2,0
38,56526.584468831636,12187.764576871497,700.3667854155565,220,13,21.5379817940194,24,2,0
22,38502.52616307931,22874.626261816116,705.7296871021315,59,4,10.970020771136095,60,4,0
55,53972.77167694812,23292.03614050807,647.4399002797282,21,12,15.440390949373263,48,1,0
36,46099.48222355907,9161.451613776033,685.5548600435802,52,3,20.445526580837857,12,1,0
61,64870.75689967361,17375.51636161204,715.6353249994839,274,5,12.874778157265608,12,4,0
56,59840.13820630869,22250.132436522174,693.5643213159082,48,4,12.160075508086187,60,4,1
53,28968.172134376204,13532.385168973073,706.0500019106311,16,15,22.75744407129816,12,0,0
24,26951.548412780183,20363.23890698846,520.3912814401597,126,5,6.378179856031787,36,1,0
53,48203.77652852893,12451.497567200919,814.5822848643382,154,9,21.830685659888676,60,3,0
34,50656.38570758631,12230.688568130012,682.3351119329027,274,14,23.56396903813853,12,0,0
41,65219.53548183653,7542.545966610407,743.5641291265455,234,16,16.263219129001772,48,0,0
40,60266.07821123778,28695.95531850207,708.4574199204878,285,3,18.91941182220522,48,4,0
28,79173.71286425485,11125.122192422077,546.9170921716151,77,15,22.22895589088864,36,2,0
27,40656.1307144914,8590.418362026709,581.3656209254518,173,18,13.710557513388208,60,0,0
23,39514.27861145586,6636.969735369677,597.5109305125928,105,18,22.57575840898985,60,4,0
37,30803.71988709912,15676.127178775669,764.8880635265538,31,14,12.44522687753998,12,0,0
53,64988.1422955016,6864.396133975509,553.7474317891108,291,7,11.129428337076522,12,2,0
32,50435.04368031921,9299.59971838471,524.7002950458372,9,6,24.664010826173005,24,4,0
42,12927.929660767077,21391.654744420463,692.9249474551067,101,16,5.622959932984943,36,2,0
42,54043.30755415786,18589.731288278785,825.27589562083,117,19,11.391215937500183,60,2,0
50,55319.40335634142,4237.46895172439,565.8349673285358,156,9,14.171001257303239,12,3,0
58,47113.06114504313,20798.592010655128,793.3534591158291,266,1,11.217685475037156,60,2,0
58,55933.09705916836,15262.305363359936,724.6365379044815,244,18,10.643257823823216,36,2,0
28,25595.286015485588,24097.289888466752,607.8445983964992,78,14,12.413614544541389,48,2,0
47,82820.63668200054,26343.915862143185,517.7352425834209,159,14,12.961219978904982,36,1,0
47,57605.18852151846,2130.6075352438056,616.2711674135132,90,8,6.432081415925861,60,3,0
54,14526.022338427552,21117.042890557757,570.8949839163271,128,17,20.504839391812112,12,1,0
41,49882.05801339782,28078.49539326739,770.0319595665658,13,18,8.36493686733213,60,2,0
50,58134.40399304229,16677.191993288165,646.6547552548388,285,15,5.8204309479080525,24,1,0
53,27741.358501539027,20505.736419098735,698.1274353390604,158,10,16.807583185904626,36,4,0
48,60672.605580268755,16799.75873556448,698.7721281746847,128,16,18.37187273764866,24,1,0
53,83618.51246017331,22835.39795142872,586.0121245352328,173,7,20.205583284039008,60,4,0
25,37112.618789009415,18067.920514361987,657.2234140885649,173,17,6.755686385155872,60,0,0
39,58568.77391739888,1000.0,750.1203289753344,42,5,8.434499751534542,24,3,0
24,54171.97197984394,14030.383461000567,642.4016738474228,293,18,8.646348201374485,12,1,0
